# Auto-generated by harness/gen-macros.py from reference/valkey/src/*.h
# DO NOT hand-edit. To refine a row, change HEURISTICS in the generator or
# (preferably) override per-macro by editing harness/macro-overrides.tsv (TODO).
#
# Total macros: 2402
# Columns (tab-separated):
#   name              C macro identifier
#   file              header where defined
#   line              line number
#   kind              object | function
#   category          constant | alias | sizeof | cast | ternary | reply-alias | function-like | flag | complex
#   c_body            raw C body (first 80 chars; truncated with ... if longer)
#   rust_mapping      suggested Rust translation (TODO if unclear)

__ADLIST_H__	adlist.h	32	object	flag		// (empty body — likely a feature flag; check #ifdef sites)
listLength	adlist.h	57	function	function-like	((l)->len)	TODO(architect): function-like macro; translate at call site
listFirst	adlist.h	58	function	function-like	((l)->head)	TODO(architect): function-like macro; translate at call site
listLast	adlist.h	59	function	function-like	((l)->tail)	TODO(architect): function-like macro; translate at call site
listPrevNode	adlist.h	60	function	function-like	((n)->prev)	TODO(architect): function-like macro; translate at call site
listNextNode	adlist.h	61	function	function-like	((n)->next)	TODO(architect): function-like macro; translate at call site
listNodeValue	adlist.h	62	function	function-like	((n)->value)	TODO(architect): function-like macro; translate at call site
listSetDupMethod	adlist.h	64	function	function-like	((l)->dup = (m))	TODO(architect): function-like macro; translate at call site
listSetFreeMethod	adlist.h	65	function	function-like	((l)->free = (m))	TODO(architect): function-like macro; translate at call site
listSetMatchMethod	adlist.h	66	function	function-like	((l)->match = (m))	TODO(architect): function-like macro; translate at call site
listGetDupMethod	adlist.h	68	function	function-like	((l)->dup)	TODO(architect): function-like macro; translate at call site
listGetFreeMethod	adlist.h	69	function	function-like	((l)->free)	TODO(architect): function-like macro; translate at call site
listGetMatchMethod	adlist.h	70	function	function-like	((l)->match)	TODO(architect): function-like macro; translate at call site
AL_START_HEAD	adlist.h	98	object	constant	0	pub const AL_START_HEAD: i64 = 0;
AL_START_TAIL	adlist.h	99	object	constant	1	pub const AL_START_TAIL: i64 = 1;
__AE_H__	ae.h	34	object	flag		// (empty body — likely a feature flag; check #ifdef sites)
AE_OK	ae.h	39	object	constant	0	pub const AE_OK: i64 = 0;
AE_ERR	ae.h	40	object	constant	-1	pub const AE_ERR: i64 = -1;
AE_NONE	ae.h	42	object	complex	0     /* No events registered. */	TODO(architect): see C definition
AE_READABLE	ae.h	43	object	complex	1 /* Fire when descriptor is readable. */	TODO(architect): see C definition
AE_WRITABLE	ae.h	44	object	complex	2 /* Fire when descriptor is writable. */	TODO(architect): see C definition
AE_BARRIER	ae.h	49	object	complex	4  /* With WRITABLE, never fire the event if the\n                         REA...	TODO(architect): see C definition
AE_FILE_EVENTS	ae.h	51	object	complex	(1 << 0)	TODO(architect): see C definition
AE_TIME_EVENTS	ae.h	52	object	complex	(1 << 1)	TODO(architect): see C definition
AE_ALL_EVENTS	ae.h	53	object	complex	(AE_FILE_EVENTS | AE_TIME_EVENTS)	TODO(architect): see C definition
AE_DONT_WAIT	ae.h	54	object	complex	(1 << 2)	TODO(architect): see C definition
AE_CALL_BEFORE_SLEEP	ae.h	55	object	complex	(1 << 3)	TODO(architect): see C definition
AE_CALL_AFTER_SLEEP	ae.h	56	object	complex	(1 << 4)	TODO(architect): see C definition
AE_PROTECT_POLL	ae.h	57	object	complex	(1 << 5)	TODO(architect): see C definition
AE_NOMORE	ae.h	59	object	constant	-1	pub const AE_NOMORE: i64 = -1;
AE_DELETED_EVENT_ID	ae.h	60	object	constant	-1	pub const AE_DELETED_EVENT_ID: i64 = -1;
AE_NOTUSED	ae.h	63	function	function-like	((void)V)	TODO(architect): function-like macro; translate at call site
__ALLOCATOR_DEFRAG_H	allocator_defrag.h	2	object	flag		// (empty body — likely a feature flag; check #ifdef sites)
HAVE_DEFRAG	allocator_defrag.h	13	object	flag		// (empty body — likely a feature flag; check #ifdef sites)
ANET_H	anet.h	32	object	flag		// (empty body — likely a feature flag; check #ifdef sites)
ANET_OK	anet.h	36	object	constant	0	pub const ANET_OK: i64 = 0;
ANET_ERR	anet.h	37	object	constant	-1	pub const ANET_ERR: i64 = -1;
ANET_ERR_LEN	anet.h	38	object	constant	256	pub const ANET_ERR_LEN: i64 = 256;
ANET_NONE	anet.h	41	object	constant	0	pub const ANET_NONE: i64 = 0;
ANET_IP_ONLY	anet.h	42	object	complex	(1 << 0)	TODO(architect): see C definition
ANET_PREFER_IPV4	anet.h	43	object	complex	(1 << 1)	TODO(architect): see C definition
ANET_PREFER_IPV6	anet.h	44	object	complex	(1 << 2)	TODO(architect): see C definition
AF_LOCAL	anet.h	47	object	alias	AF_UNIX	pub use crate::AF_UNIX;  // alias
__BIO_H	bio.h	31	object	flag		// (empty body — likely a feature flag; check #ifdef sites)
SRC_CALL_REPLY_H_	call_reply.h	31	object	flag		// (empty body — likely a feature flag; check #ifdef sites)
VALKEY_CLI_COMMANDS_H	cli_commands.h	6	object	flag		// (empty body — likely a feature flag; check #ifdef sites)
__CLICOMMON_H	cli_common.h	2	object	flag		// (empty body — likely a feature flag; check #ifdef sites)
__CLUSTER_H	cluster.h	2	object	flag		// (empty body — likely a feature flag; check #ifdef sites)
CLUSTER_SLOT_MASK_BITS	cluster.h	9	object	complex	14                   /* Number of bits used for slot id. */	TODO(architect): see C definition
CLUSTER_SLOTS	cluster.h	10	object	complex	(1 << CLUSTER_SLOT_MASK_BITS) /* Total number of slots in cluster mode, which...	TODO(architect): see C definition
CLUSTER_OK	cluster.h	11	object	complex	0                                /* Everything looks ok */	TODO(architect): see C definition
CLUSTER_FAIL	cluster.h	12	object	complex	1                              /* The cluster can't work */	TODO(architect): see C definition
CLUSTER_NAMELEN	cluster.h	13	object	complex	40                          /* sha1 hex length */	TODO(architect): see C definition
CLUSTER_FAIL_NONE	cluster.h	17	object	constant	0	pub const CLUSTER_FAIL_NONE: i64 = 0;
CLUSTER_FAIL_NOT_FULL_COVERAGE	cluster.h	18	object	constant	1	pub const CLUSTER_FAIL_NOT_FULL_COVERAGE: i64 = 1;
CLUSTER_FAIL_MINORITY_PARTITION	cluster.h	19	object	constant	2	pub const CLUSTER_FAIL_MINORITY_PARTITION: i64 = 2;
