# Auto-generated by harness/gen-types.py from reference/valkey/src/*.{c,h}
# DO NOT hand-edit. To refine the suggested Rust mapping, change C_TO_RUST
# in the generator. To add new canonical Rust types, edit type-vocabulary.tsv.
#
# Total struct types: 346
# Columns (tab-separated):
#   c_name        C type identifier (typedef name preferred)
#   c_tag         struct tag (when typedef used `struct X { ... } Y;`)
#   file          where defined
#   line          line number
#   n_fields      number of parsed fields
#   fields_brief  first 5 fields as `type:name` (truncated)
#   rust_mapping  suggested Rust type or 'TODO(architect)'

aclSelector		acl.c	159	7	uint32_t:flags; uint64_t:allowed_commands; sds **:allowed_firstargs; list *:patterns; list *:channels; ...	TODO(architect): assign canonical Rust type
keyPattern		acl.c	303	2	int:flags; sds:pattern	TODO(architect): assign canonical Rust type
aclKeyResultCache		acl.c	1824	2	int:keys_init; getKeysResult:keys	TODO(architect): assign canonical Rust type
ACLLogEntry	ACLLogEntry	acl.c	2807	9	uint64_t:count; int:reason; int:context; sds:object; sds:username; ...	TODO(architect): assign canonical Rust type
listNode	listNode	adlist.h	36	3	struct listNode *:prev; struct listNode *:next; void *:value	(internal — see adlist)
listIter	listIter	adlist.h	42	2	listNode *:next; int:direction	(internal — see adlist)
list	list	adlist.h	47	3	listNode *:head; listNode *:tail; unsigned long:len	(see redis-ds/adlist.rs) — Phase 4
aeFileEvent	aeFileEvent	ae.h	77	4	int:mask; aeFileProc *:rfileProc; aeFileProc *:wfileProc; void *:clientData	TODO(architect): assign canonical Rust type
aeTimeEvent	aeTimeEvent	ae.h	85	8	long long:id; monotime:when; aeTimeProc *:timeProc; aeEventFinalizerProc *:finalizerProc; void *:clientData; ...	TODO(architect): assign canonical Rust type
aeFiredEvent	aeFiredEvent	ae.h	98	2	int:fd; int:mask	TODO(architect): assign canonical Rust type
aeEventLoop	aeEventLoop	ae.h	104	13	int:maxfd; int:setsize; long long:timeEventNextId; aeFileEvent *:events; aeFiredEvent *:fired; ...	EventLoop (crates/redis-core/src/event_loop.rs) — Phase 2 architect decision
aeApiState	aeApiState	ae_select.c	35	2	fd_set rfds,:wfds; fd_set _rfds,:_wfds	TODO(architect): assign canonical Rust type
jeMallctlKey	jeMallctlKey	allocator_defrag.c	76	2	size_t:key; size_t:keylen	TODO(architect): assign canonical Rust type
jeBinInfoKeys	jeBinInfoKeys	allocator_defrag.c	86	3	jeMallctlKey:curr_slabs; jeMallctlKey:nonfull_slabs; jeMallctlKey:curr_regs	TODO(architect): assign canonical Rust type
jeBinInfo	jeBinInfo	allocator_defrag.c	98	3	size_t:reg_size; uint32_t:nregs; jeBinInfoKeys:info_keys	TODO(architect): assign canonical Rust type
jemallocCB	jemallocCB	allocator_defrag.c	109	4	unsigned:nbins; jeBinInfo *:bin_info; jeMallctlKey:util_batch_query; jeMallctlKey:epoch	TODO(architect): assign canonical Rust type
jemallocBinUsageData	jemallocBinUsageData	allocator_defrag.c	121	3	size_t:curr_slabs; size_t:curr_nonfull_slabs; size_t:curr_regs	TODO(architect): assign canonical Rust type
bio_worker_data		bio.c	85	3	const char *const:bio_worker_title; pthread_t:bio_thread_id; mutexQueue *:bio_jobs	TODO(architect): assign canonical Rust type
bitfieldOp	bitfieldOp	bitops.c	1196	6	uint64_t:offset; int64_t:i64; int:opcode; int:owtype; int:bits; ...	TODO(architect): assign canonical Rust type
RespHandlersCtx		call_reply.c	634	2	const ValkeyModuleReplyHandlers *:handlers; void *:context	TODO(architect): assign canonical Rust type
